date,open,high,low,close,volume
2019-01-14,39.91,40.36,39.32,39.45,18716052.0
2019-01-15,39.5,41.02,39.33,41.0,40219032.0
2019-01-16,41.0,41.46,40.62,41.2,28623404.0
2019-01-17,41.2,41.7,40.88,40.91,25974048.0
2019-01-18,41.45,42.1,41.04,42.08,38442800.0
2019-01-21,42.2,42.8,41.6,42.09,29411592.0
2019-01-22,42.1,42.31,41.02,41.3,24468218.0
2019-01-23,40.99,42.05,40.99,41.46,19227308.0
2019-01-24,41.8,42.09,41.21,41.59,21956286.0
2019-01-25,41.73,42.1,40.7,41.9,26754816.0
2019-01-28,42.18,43.0,41.8,41.84,34221268.0
2019-01-29,41.84,43.0,41.46,43.0,36969152.0
2019-01-30,42.79,42.9,42.1,42.1,29219142.0
2019-01-31,42.88,43.6,42.45,43.53,38921536.0
2019-02-01,44.35,44.5,43.53,44.26,31220320.0
2019-02-02,48.96893404595162,49.53380962733166,48.3891191702291,48.94547303741576,28305776.133584507
2019-02-03,48.95262905415917,49.518039932656535,48.356765189561855,48.9469967429306,28307882.88174449
2019-02-11,43.96,46.32,43.9,46.08,34905404.0
2019-02-12,46.0,46.9,45.65,46.49,30289404.0
2019-02-13,46.74,47.23,45.9,46.8,32414274.0
2019-02-14,46.9,47.31,46.5,47.15,22921396.0
2019-02-15,46.75,46.75,45.0,45.27,46535960.0
2019-02-18,45.8,46.46,45.55,46.4,32570218.0
2019-02-19,46.48,47.34,45.61,46.08,28075864.0
2019-02-20,48.94391952942956,49.5449601078199,48.345953835837896,48.94645612109935,28312467.18366573
2019-02-21,46.5,47.42,45.64,45.86,41442276.0
2019-02-22,45.9,45.9,44.35,45.61,38882484.0
2019-02-25,47.5,49.39,46.69,49.17,72852264.0
2019-02-26,48.35,48.7,47.35,47.36,49051748.0
2019-02-27,47.15,48.21,47.15,47.64,31870518.0
2019-02-28,47.65,48.18,47.45,47.78,25324278.0
2019-03-01,48.1,48.67,47.87,48.57,35840056.0
2019-03-04,49.11,50.2,48.6,48.96,54264368.0
2019-03-05,49.42,49.5,48.71,49.0,30924256.0
2019-03-06,49.38,49.68,48.7,49.1,31652372.0
2019-03-07,49.0,49.0,47.18,47.56,51162680.0
2019-03-08,46.66,47.23,45.7,45.8,46300912.0
2019-03-11,45.85,46.68,45.85,46.58,29056058.0
2019-03-12,47.4,47.62,45.76,46.16,41167836.0
2019-03-13,46.18,46.64,45.53,46.23,34880544.0
2019-03-14,46.2,47.17,46.15,46.41,34423124.0
2019-03-15,47.3,48.58,46.84,47.93,67236240.0
2019-03-18,47.5,49.5,47.3,49.32,51499192.0
2019-03-19,49.53,49.77,48.68,49.25,29701916.0
2019-03-20,49.25,49.45,48.38,48.9,29175156.0
2019-03-21,48.65,48.8,48.08,48.24,25832580.0
2019-03-22,48.3,48.82,47.71,48.6,22708008.0
2019-03-25,47.68,48.2,46.56,46.69,32685556.0
2019-03-26,47.1,47.1,45.91,46.57,22442360.0
2019-03-27,46.98,47.8,46.59,47.57,22752274.0
2019-03-28,47.58,47.74,46.81,47.14,20235792.0
2019-03-29,47.01,48.88,47.01,48.73,43946364.0
